word,pronunciation,meaning
wallflower,/ˈwɔːlˌflaʊə/,"명 (wildflower that grows in walls) 벽 사이에서 자라는 야생화 
명 figurative (shy person) (비유적) (파티 등에서) 어울리지 못하고 벽에 기대어 있는 사람; 부끄럼타고 소극적인 사람 "
composure,/kəmˈpəʊʒə/,"명 (self-control, calm) 침착, 평정 "
redemption,/rɪˈdɛmpʃən/,"명 (Christianity: being saved) (기독교) 속죄 
명 (regaining pride, honour) (비유적 표현) 명예회복 
명 (finance: cash in bonds) 상환 "
hubris,/ˈhjuːbrɪs/,"명 (arrogance) 오만, 교만 "
overweening,/ˌəʊvəˈwiːnɪŋ/,"형 (arrogant) 오만한, 교만한 "
defy,/dɪˈfaɪ/,"동(타) figurative (go against) (은유적) 무시하다, 저항하다 
동(타) (resist) 저항하다, 반항하다 "
crappy,/ˈkræpɪ/,"형 (of poor quality) (품질이) 형편없는, 조악한 
형 (experience: unpleasant) (경험) 불쾌한, 마음에 들지 않은 "
picky,/ˈpɪkɪ/,"형 informal (person: very selective) (사람) 까다로운, 유별난 
형 informal (person: critical) 골라서 하는, 까다로운, 선별적인 "
surrogate,/ˈsʌrəɡɪt/,"명 (person substituting for another) 대리인 
명 (person: for contracts) (계약을 위한) 대리, 대행자 
형 (acting as a surrogate) 대리의 
동(타)  대리 노릇을 하다 
"
manipulate,/məˈnɪpjʊˌleɪt/,"동(타) (operate, handle: [sth]) (사물을) 교묘히 다루다 
동(타) (influence, control: [sb]) (사람을) 조종하다, 통제하다 
동(타) (falsify: data) (데이터를) 조작하다, 조작하여 속이다 
동(타) (massage, treat: [sb]) 손을 써서 촉진하다 "
properly,/ˈprɒpəlɪ/,"부 (correctly) 정확하게, 알맞게, 정식으로 "
humiliation,/hjuːmɪlɪˈeɪʃən/,"명 (act of shaming) 굴욕, 굴복 
명 uncountable (feeling ashamed) 창피, 굴욕감 "
anxiety,/æŋˈzaɪɪtɪ/,"명 (feeling of fear) 걱정, 근심, 불안, 염려 
  열망, 갈망, 염원 
명 (as a disease) (질병으로) 불안 발작, 공황 "
enzymes,,"명 (biology: active protein) (생물학) 효소; 활성 단백질 "
